"Table 5: Local Authority: Gross domestic product (GDP) at current market prices, pounds million",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITL1 Region,LA code,LA name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Yorkshire and The Humber,E08000035,Leeds,"13,493","14,378","14,828","15,407","16,163","17,497","18,791","20,120","21,364","22,543","22,425","22,189","22,780","23,370","23,940","24,634","25,361","26,298","26,687","27,549","29,107","30,043","28,191","31,287","35,871","39,323"
Yorkshire and The Humber,E08000033,Calderdale,"2,470","2,592","2,628","2,734","2,796","2,996","3,188","3,474","3,668","3,834","3,687","3,562","3,700","3,849","3,961","4,119","4,686","5,140","5,179","5,590","5,937","5,942","5,586","6,268","6,050","6,502"
Yorkshire and The Humber,E08000034,Kirklees,"4,567","4,791","4,883","5,006","5,133","5,413","5,633","5,902","6,105","6,412","6,489","6,296","6,468","6,700","6,906","7,059","7,333","7,713","7,896","8,418","8,770","8,821","8,415","9,177","9,928","10,616"
Yorkshire and The Humber,E08000036,Wakefield,"4,547","4,785","4,937","5,132","5,315","5,594","5,810","6,061","6,265","6,469","6,592","6,434","6,422","6,619","6,816","7,052","7,107","7,576","7,876","8,198","8,702","9,066","8,665","9,390","10,566","11,425"
East Midlands ,E06000015,Derby,"4,168","4,435","4,615","4,839","5,107","5,292","5,723","6,222","6,417","6,573","6,705","6,530","6,661","7,050","7,224","7,493","7,375","7,411","7,533","7,563","8,079","8,353","8,567","9,049","9,425","10,155"
East Midlands ,E07000033,Bolsover,"1,174","1,192","1,208","1,255","1,267","1,281","1,331","1,408","1,445","1,498","1,575","1,532","1,588","1,607","1,677","1,702","1,715","1,919","2,020","2,133","2,270","2,310","2,314","2,475","2,687","2,794"
East Midlands ,E07000034,Chesterfield,"1,299","1,339","1,380","1,462","1,538","1,588","1,687","1,804","1,856","1,934","1,971","1,905","2,016","2,039","2,176","2,222","2,304","2,443","2,505","2,594","2,678","2,728","2,859","3,107","3,338","3,423"
East Midlands ,E07000038,North East Derbyshire,900,950,969,994,"1,028","1,077","1,116","1,188","1,209","1,238","1,280","1,205","1,256","1,331","1,356","1,407","1,519","1,639","1,646","1,650","1,730","1,795","1,789","1,935","2,107","2,170"
East Midlands ,E07000032,Amber Valley,"1,700","1,736","1,721","1,760","1,833","1,886","1,977","2,108","2,176","2,254","2,317","2,174","2,294","2,350","2,472","2,560","2,688","2,768","2,827","2,885","2,985","3,160","3,137","3,303","3,576","3,898"
East Midlands ,E07000035,Derbyshire Dales,981,"1,023","1,039","1,083","1,118","1,160","1,225","1,298","1,320","1,360","1,403","1,332","1,418","1,462","1,556","1,573","1,571","1,590","1,671","1,705","1,818","1,815","1,742","1,876","2,099","2,212"
East Midlands ,E07000036,Erewash,"1,030","1,068","1,084","1,139","1,183","1,221","1,281","1,360","1,419","1,456","1,489","1,405","1,489","1,579","1,644","1,728","1,752","1,803","1,892","1,969","2,027","2,140","2,062","2,180","2,343","2,478"
East Midlands ,E07000037,High Peak,"1,046","1,073","1,088","1,122","1,168","1,218","1,269","1,328","1,342","1,360","1,396","1,296","1,330","1,401","1,458","1,458","1,524","1,610","1,680","1,741","1,786","1,784","1,730","1,851","2,075","2,085"
East Midlands ,E07000039,South Derbyshire,"1,455","1,478","1,479","1,485","1,563","1,670","1,747","1,901","1,860","1,886","1,985","1,827","2,119","2,199","2,294","2,615","2,719","2,674","2,893","2,972","3,113","3,562","3,416","3,503","3,259","3,509"
East Midlands ,E06000018,Nottingham,"4,997","5,205","5,300","5,617","5,947","6,324","6,907","7,282","7,782","8,059","8,276","8,185","8,561","8,978","9,268","9,412","10,061","10,280","10,658","11,149","11,390","11,505","11,094","11,534","12,951","14,105"
East Midlands ,E07000170,Ashfield,"1,924","1,929","1,951","1,991","2,079","2,093","2,215","2,330","2,425","2,512","2,568","2,477","2,587","2,626","2,687","2,788","2,881","2,935","2,953","3,028","3,126","3,205","3,077","3,270","3,445","3,715"
East Midlands ,E07000171,Bassetlaw,"1,369","1,453","1,484","1,524","1,600","1,672","1,762","1,824","1,890","1,946","1,986","1,937","2,026","2,105","2,197","2,252","2,291","2,378","2,434","2,482","2,585","2,688","2,721","2,834","3,137","3,318"
East Midlands ,E07000174,Mansfield,942,987,999,"1,035","1,080","1,138","1,218","1,287","1,342","1,393","1,416","1,345","1,396","1,463","1,536","1,552","1,643","1,718","1,769","1,818","1,923","2,004","1,969","2,084","2,298","2,490"
East Midlands ,E07000175,Newark and Sherwood,"1,433","1,522","1,566","1,598","1,663","1,764","1,822","1,908","2,005","2,070","2,126","2,068","2,144","2,297","2,355","2,414","2,440","2,584","2,677","2,804","2,874","2,967","2,841","3,031","3,437","3,459"
East Midlands ,E07000172,Broxtowe,"1,441","1,494","1,483","1,491","1,569","1,624","1,695","1,822","1,891","1,950","1,967","1,967","2,049","2,137","2,243","2,307","2,298","2,385","2,473","2,506","2,527","2,364","2,366","2,569","2,895","3,169"
East Midlands ,E07000173,Gedling,"1,024","1,056","1,068","1,119","1,159","1,189","1,235","1,294","1,349","1,400","1,437","1,376","1,425","1,478","1,565","1,567","1,603","1,682","1,734","1,780","1,814","1,848","1,854","2,010","2,162","2,333"
East Midlands ,E07000176,Rushcliffe,"1,426","1,511","1,562","1,653","1,670","1,712","1,830","1,928","2,007","2,139","2,227","2,149","2,229","2,239","2,321","2,455","2,525","2,593","2,620","2,748","3,157","3,483","3,369","3,365","3,871","4,131"
East Midlands ,E06000016,Leicester,"4,223","4,363","4,585","4,709","4,848","5,179","5,563","5,825","6,236","6,568","6,820","6,728","7,124","7,257","7,494","7,813","8,477","8,770","9,038","9,200","9,543","9,817","9,332","10,281","10,643","11,439"
East Midlands ,E06000017,Rutland,522,541,581,599,616,646,672,698,736,754,793,754,800,793,808,817,850,897,944,931,955,945,925,"1,062","1,152","1,220"
East Midlands ,E07000129,Blaby,"1,631","1,631","1,749","1,781","1,869","2,018","2,282","2,405","2,599","2,795","2,976","3,094","3,104","2,980","3,218","3,548","3,727","3,850","3,777","3,943","4,020","4,059","3,544","3,956","4,717","5,441"
East Midlands ,E07000130,Charnwood,"2,106","2,186","2,320","2,517","2,623","2,770","2,911","3,034","3,169","3,222","3,407","3,247","3,372","3,380","3,415","3,335","3,476","3,651","3,885","4,044","4,167","4,174","4,067","4,512","4,785","5,514"
East Midlands ,E07000131,Harborough,"1,166","1,218","1,271","1,284","1,344","1,449","1,488","1,563","1,674","1,775","1,816","1,714","1,827","1,836","1,866","1,907","2,078","2,173","2,195","2,319","2,376","2,506","2,373","2,604","2,814","3,003"
East Midlands ,E07000132,Hinckley and Bosworth,"1,325","1,348","1,440","1,486","1,525","1,610","1,667","1,717","1,875","1,973","2,090","1,913","2,058","2,109","2,178","2,288","2,422","2,438","2,473","2,618","2,664","2,748","2,572","2,912","3,142","3,301"
